,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
349,Astronomy,Conan Gray,0KmgJyW4GDgonqsoyx0CZ3,2021-05-07,0.471,0.335,-8.767,0.0273,0.593,0.297,0.111,145.252,-37.75206313149425
350,Space Song,Beach House,7H0ya83CMmgFcOhw0UB6ow,2015-08-28,0.508,0.792,-7.311,0.0297,0.229,0.145,0.601,147.067,-39.547946878076516
351,Butch 4 Butch,Rio Romeo,59eUvoOBAOGHJsXnaNuVZK,2021-02-14,0.347,0.465,-9.292,0.0359,0.48,0.276,0.427,148.913,-41.42739143703407
352,You Stupid Bitch,girl in red,7Jqyl2feOikHqdCOaY9uzF,2021-04-14,0.521,0.833,-5.661,0.053,0.00721,0.272,0.764,149.006,-41.5317030376647
353,Vroom Vroom,Charli XCX,5hyq3LBlCfjRQAFkdQwe8o,2016-02-26,0.836,0.684,-5.818,0.241,0.122,0.0854,0.514,151.007,-43.52169935756398
354,She Likes Another Boy,Oscar Lang,5W6BA8Wa8JZGKdliH2gkwO,2017-07-23,0.703,0.191,-14.078,0.0287,0.922,0.114,0.327,61.932,-44.06522617264131
355,Christmas Kids,Roar,40gk32E7YaTFoQwDIWv2SY,2010-03-14,0.425,0.754,-6.028,0.0367,0.0104,0.438,0.558,152.092,-44.600262446816174
356,Ghost,Machine Girl,4orMsymF399H3xKBc0AIhx,2014-02-17,0.705,0.924,-6.783,0.177,0.00576,0.36,0.378,154.008,-46.49645781846259
357,Oblivion,Grimes,3LGsgpx4TfxhXbr07OFKqs,2012-02-21,0.697,0.529,-8.838,0.0338,0.115,0.0895,0.486,155.974,-48.46827434470814
358,OHFR?,Rico Nasty,3IBGU1NgiTjDsIJn2Jtdg4,2020-11-10,0.86,0.717,-5.542,0.48,0.414,0.0843,0.812,158.019,-50.54135995015375
359,Bubblegum Bitch,MARINA,0ZFBKLOZLIM16RAUb5eomN,2012-04-30,0.495,0.856,-5.123,0.0311,0.000219,0.103,0.609,158.024,-50.56394808082221
360,Touch-Tone Telephone,Lemon Demon,1tmRlF5pFo8G5OfJYUjWrR,2016-02-29,0.625,0.71,-8.577,0.0535,0.196,0.181,0.573,160.147,-52.63486581811602
361,Phanta,Le Tigre,44aFbBHxgBNIruCXNGnOZ6,1999-10-26,0.55,0.898,-3.994,0.195,0.271,0.285,0.616,160.112,-52.71274499871808
362,Deceptacon,Le Tigre,5773KSWFzg9kCc8yazjbSt,1999-10-26,0.603,0.864,-3.341,0.0668,0.055,0.0986,0.616,160.488,-53.13516251082392
